trial,seed,graph,gen,bestSpan_gen
4,1238,sd_3_100.txt,1,139
4,1238,sd_3_100.txt,2,134
4,1238,sd_3_100.txt,3,134
4,1238,sd_3_100.txt,4,134
4,1238,sd_3_100.txt,5,134
4,1238,sd_3_100.txt,6,134
4,1238,sd_3_100.txt,7,133
4,1238,sd_3_100.txt,8,132
4,1238,sd_3_100.txt,9,132
4,1238,sd_3_100.txt,10,132
4,1238,sd_3_100.txt,11,131
4,1238,sd_3_100.txt,12,131
4,1238,sd_3_100.txt,13,131
4,1238,sd_3_100.txt,14,129
4,1238,sd_3_100.txt,15,129
4,1238,sd_3_100.txt,16,129
4,1238,sd_3_100.txt,17,129
4,1238,sd_3_100.txt,18,128
4,1238,sd_3_100.txt,19,128
4,1238,sd_3_100.txt,20,128
4,1238,sd_3_100.txt,21,127
4,1238,sd_3_100.txt,22,127
4,1238,sd_3_100.txt,23,127
4,1238,sd_3_100.txt,24,127
4,1238,sd_3_100.txt,25,127
4,1238,sd_3_100.txt,26,127
4,1238,sd_3_100.txt,27,126
4,1238,sd_3_100.txt,28,126
4,1238,sd_3_100.txt,29,126
4,1238,sd_3_100.txt,30,126
4,1238,sd_3_100.txt,31,126
4,1238,sd_3_100.txt,32,126
4,1238,sd_3_100.txt,33,126
4,1238,sd_3_100.txt,34,126
4,1238,sd_3_100.txt,35,125
4,1238,sd_3_100.txt,36,125
4,1238,sd_3_100.txt,37,125
4,1238,sd_3_100.txt,38,125
4,1238,sd_3_100.txt,39,125
4,1238,sd_3_100.txt,40,125
4,1238,sd_3_100.txt,41,125
4,1238,sd_3_100.txt,42,125
4,1238,sd_3_100.txt,43,125
4,1238,sd_3_100.txt,44,125
4,1238,sd_3_100.txt,45,125
4,1238,sd_3_100.txt,46,125
4,1238,sd_3_100.txt,47,125
4,1238,sd_3_100.txt,48,125
4,1238,sd_3_100.txt,49,125
4,1238,sd_3_100.txt,50,124
4,1238,sd_3_100.txt,51,124
4,1238,sd_3_100.txt,52,124
4,1238,sd_3_100.txt,53,124
4,1238,sd_3_100.txt,54,124
4,1238,sd_3_100.txt,55,124
4,1238,sd_3_100.txt,56,124
4,1238,sd_3_100.txt,57,124
4,1238,sd_3_100.txt,58,124
4,1238,sd_3_100.txt,59,124
4,1238,sd_3_100.txt,60,124
4,1238,sd_3_100.txt,61,124
4,1238,sd_3_100.txt,62,124
4,1238,sd_3_100.txt,63,124
4,1238,sd_3_100.txt,64,124
4,1238,sd_3_100.txt,65,124
4,1238,sd_3_100.txt,66,124
4,1238,sd_3_100.txt,67,124
4,1238,sd_3_100.txt,68,124
4,1238,sd_3_100.txt,69,124
4,1238,sd_3_100.txt,70,124
4,1238,sd_3_100.txt,71,124
4,1238,sd_3_100.txt,72,124
4,1238,sd_3_100.txt,73,124
4,1238,sd_3_100.txt,74,124
4,1238,sd_3_100.txt,75,124
4,1238,sd_3_100.txt,76,124
4,1238,sd_3_100.txt,77,124
4,1238,sd_3_100.txt,78,124
4,1238,sd_3_100.txt,79,124
4,1238,sd_3_100.txt,80,124
4,1238,sd_3_100.txt,81,124
4,1238,sd_3_100.txt,82,124
4,1238,sd_3_100.txt,83,124
4,1238,sd_3_100.txt,84,124
4,1238,sd_3_100.txt,85,124
4,1238,sd_3_100.txt,86,124
4,1238,sd_3_100.txt,87,124
4,1238,sd_3_100.txt,88,124
4,1238,sd_3_100.txt,89,124
4,1238,sd_3_100.txt,90,124
4,1238,sd_3_100.txt,91,124
4,1238,sd_3_100.txt,92,124
4,1238,sd_3_100.txt,93,124
4,1238,sd_3_100.txt,94,123
4,1238,sd_3_100.txt,95,123
4,1238,sd_3_100.txt,96,123
4,1238,sd_3_100.txt,97,123
4,1238,sd_3_100.txt,98,123
4,1238,sd_3_100.txt,99,123
4,1238,sd_3_100.txt,100,123
4,1238,sd_3_100.txt,101,123
4,1238,sd_3_100.txt,102,123
4,1238,sd_3_100.txt,103,123
4,1238,sd_3_100.txt,104,123
4,1238,sd_3_100.txt,105,123
4,1238,sd_3_100.txt,106,123
4,1238,sd_3_100.txt,107,123
4,1238,sd_3_100.txt,108,123
4,1238,sd_3_100.txt,109,123
4,1238,sd_3_100.txt,110,123
4,1238,sd_3_100.txt,111,123
4,1238,sd_3_100.txt,112,123
4,1238,sd_3_100.txt,113,123
4,1238,sd_3_100.txt,114,123
4,1238,sd_3_100.txt,115,123
4,1238,sd_3_100.txt,116,123
4,1238,sd_3_100.txt,117,123
4,1238,sd_3_100.txt,118,123
4,1238,sd_3_100.txt,119,123
4,1238,sd_3_100.txt,120,123
4,1238,sd_3_100.txt,121,123
4,1238,sd_3_100.txt,122,123
4,1238,sd_3_100.txt,123,123
4,1238,sd_3_100.txt,124,123
4,1238,sd_3_100.txt,125,123
4,1238,sd_3_100.txt,126,123
4,1238,sd_3_100.txt,127,123
4,1238,sd_3_100.txt,128,123
4,1238,sd_3_100.txt,129,123
4,1238,sd_3_100.txt,130,123
4,1238,sd_3_100.txt,131,123
4,1238,sd_3_100.txt,132,123
4,1238,sd_3_100.txt,133,123
4,1238,sd_3_100.txt,134,123
4,1238,sd_3_100.txt,135,123
4,1238,sd_3_100.txt,136,123
4,1238,sd_3_100.txt,137,123
4,1238,sd_3_100.txt,138,123
4,1238,sd_3_100.txt,139,123
4,1238,sd_3_100.txt,140,123
4,1238,sd_3_100.txt,141,123
4,1238,sd_3_100.txt,142,123
4,1238,sd_3_100.txt,143,123
4,1238,sd_3_100.txt,144,123
4,1238,sd_3_100.txt,145,123
4,1238,sd_3_100.txt,146,123
4,1238,sd_3_100.txt,147,123
4,1238,sd_3_100.txt,148,123
4,1238,sd_3_100.txt,149,123
4,1238,sd_3_100.txt,150,123
4,1238,sd_3_100.txt,151,123
4,1238,sd_3_100.txt,152,123
4,1238,sd_3_100.txt,153,123
4,1238,sd_3_100.txt,154,123
4,1238,sd_3_100.txt,155,123
4,1238,sd_3_100.txt,156,123
4,1238,sd_3_100.txt,157,123
4,1238,sd_3_100.txt,158,123
4,1238,sd_3_100.txt,159,123
4,1238,sd_3_100.txt,160,123
4,1238,sd_3_100.txt,161,123
4,1238,sd_3_100.txt,162,123
4,1238,sd_3_100.txt,163,123
4,1238,sd_3_100.txt,164,121
4,1238,sd_3_100.txt,165,121
4,1238,sd_3_100.txt,166,121
4,1238,sd_3_100.txt,167,121
4,1238,sd_3_100.txt,168,121
4,1238,sd_3_100.txt,169,120
4,1238,sd_3_100.txt,170,120
4,1238,sd_3_100.txt,171,120
4,1238,sd_3_100.txt,172,120
4,1238,sd_3_100.txt,173,120
4,1238,sd_3_100.txt,174,120
4,1238,sd_3_100.txt,175,120
4,1238,sd_3_100.txt,176,120
4,1238,sd_3_100.txt,177,120
4,1238,sd_3_100.txt,178,120
